Ranks,Time
1,18.971377
2,9.514411
3,6.387416
4,4.799144
5,3.851462
6,3.223837
7,2.776768
8,2.455874
9,2.200128
10,1.956019
11,1.823799
12,1.642871
13,1.552642
14,1.454746
15,1.364776
16,1.292426
17,1.216731
18,1.162505
