Ranks,Time
1,1.414571
2,0.730391
3,0.514715
4,0.397837
5,0.329418
6,0.301076
7,0.248692
8,0.231788
9,0.214135
10,0.179423
11,0.175654
12,0.175884
13,0.152920
14,0.156206
15,0.157185
16,0.155006
17,0.130699
18,0.130293
